İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Yakıt Tipi,Yetkili Ofis,Cephe,Site İçerisinde,Depozito,Krediye Uygunluk,Tapu Durumu,Takas
121945-123,29-03-2023,None,None,2 + 1,"
                          100 m2
                        ",1. Kat,28 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,,,Doğalgaz,Evet,Güney,,20.000 TL,,,
17993-41764,29-03-2023,None,None,2 + 1,"
                          80 m2
                        ",En Üst Kat,35 Yaşında,Kombi,3 Katlı,,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,"Kuzey, Güney",,40.000 TL,,,
31572-2503,29-03-2023,None,None,2 + 1,"
                          80 m2
                        ",2. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Doğu, Batı",,20.000 TL,,,
73540-9888,28-03-2023,None,None,1 + 1,"
                          65 m2
                        ",Bahçe Katı,4 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,"Güney, Doğu",,,,,
5595-1232,24-03-2023,None,None,2 + 1,"
                          120 m2
                        ",4. Kat,40 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,325 TL,Doğalgaz,Evet,"Güney, Doğu",,20.000 TL,,,
128504-431,29-03-2023,None,None,3 + 1,"
                          105 m2
                        ",2. Kat,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Kuzey, Güney",,9.500 TL,,,
129481-528,31-03-2023,None,None,2 + 1,"
                          75 m2
                        ",4. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,,,,7.000 TL,,,
23051-9213,26-03-2023,None,None,1 + 1,"
                          65 m2
                        ",2. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",,,,,
42477-325,26-03-2023,None,None,3 + 1,"
                          130 m2
                        ",3. Kat,28 Yaşında,Belirtilmemiş,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Elektrik,Evet,"Doğu, Batı",,20.000 TL,,,
136928-4,29-03-2023,None,None,1 + 1,"
                          87 m2
                        ",Ara Kat,Sıfır Bina,Kombi,10 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,750 TL,Doğalgaz,,"Güney, Doğu",,15.000 TL,,,
131618-95,28-03-2023,None,None,2 + 1,"
                          110 m2
                        ",1. Kat,27 Yaşında,Kombi,2 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Güney,,10.000 TL,,,
33341-4098,27-03-2023,None,None,3 + 1,"
                          130 m2
                        ",Bahçe Katı,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Güney,,,,,
3448-13998,30-03-2023,None,None,4 + 2,"
                          220 m2
                        ",4. Kat,28 Yaşında,Kombi,5 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Güney,,,,,
69537-77785,31-03-2023,None,None,3 + 1,"
                          170 m2
                        ",Ara Kat,10 Yaşında,Merkezi (Pay Ölçer),20 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,2.500 TL,Doğalgaz,Evet,"Kuzey, Güney, Doğu, Batı",,130.000 TL,,,
123462-241,30-03-2023,None,None,1 + 1,"
                          75 m2
                        ",1. Kat,33 Yaşında,Doğalgaz Sobası,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Kiracılı,,Doğalgaz,Evet,"Doğu, Batı",,20.000 TL,,,
87105-493,27-03-2023,None,None,2 + 1,"
                          85 m2
                        ",3. Kat,40 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,,Mülk Sahibi,80 TL,Doğalgaz,Evet,"Doğu, Batı",,20.000 TL,,,
120627-131,30-03-2023,None,None,1 + 1,"
                          55 m2
                        ",11. Kat,30 Yaşında,Kombi,11 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,6.750 TL,,,
48911-339,28-03-2023,None,None,3 + 1,"
                          130 m2
                        ",Ara Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,"Doğu, Batı",,15.000 TL,,,
4160-1654,25-03-2023,None,None,3 + 1,"
                          150 m2
                        ",Ara Kat,20 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,30.000 TL,,,
