İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Yakıt Tipi,Yetkili Ofis,Cephe,Site İçerisinde,Depozito,Krediye Uygunluk,Tapu Durumu,Takas
25831-9674,30-03-2023,None,None,3 + 1,"
                          115 m2
                        ",Bahçe Katı,30 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,,,Boş,,,Evet,,TRT BASIN SİTESİ YENİ LEVENT,,,,
119257-32,31-03-2023,None,None,3 + 1,"
                          228 m2
                        ",2. Kat,4 Yaşında,Yerden Isıtma,5 Katlı,,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu",Yoo İstanbul Sitesi,,,,
47521-2064,29-03-2023,None,None,1 + 0,"
                          50 m2
                        ",Giriş Katı,20 Yaşında,Klima,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Elektrik,,"Kuzey, Güney, Doğu, Batı",,,,,
45929-1642,29-03-2023,None,None,2 + 1,"
                          100 m2
                        ",2. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,,,Boş,100 TL,,,,,,,,
8798-2324,30-03-2023,None,None,1 + 1,"
                          90 m2
                        ",Giriş Katı,35 Yaşında,Merkezi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Güney,,14.000 TL,,,
4753-16467,29-03-2023,None,None,4 + 1,"
                          250 m2
                        ",4. Kat,12 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",,,,,
77099-5880,31-03-2023,None,None,2 + 1,"
                          105 m2
                        ",2. Kat,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu",,14.000 TL,,,
132012-81,28-03-2023,None,None,2 + 1,"
                          110 m2
                        ",1. Kat,25 Yaşında,Doğalgaz Sobası,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,,,,7.000 TL,,,
0-40522853,25-03-2023,None,None,2 + 1,"
                          110 m2
                        ",En Üst Kat,31 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,60 TL,Doğalgaz,,"Kuzey, Doğu, Batı",,42 TL,,,
120627-127,30-03-2023,None,None,2 + 1,"
                          90 m2
                        ",Kot 2,7 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,10.000 TL,,,
130870-223,29-03-2023,None,None,2 + 1,"
                          80 m2
                        ",Giriş Katı,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,50 TL,Doğalgaz,Evet,,,8.500 TL,,,
118119-313,29-03-2023,None,None,1 + 1,"
                          78 m2
                        ",3. Kat,38 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Doğu,,10.000 TL,,,
66056-8115,29-03-2023,None,None,2 + 1,"
                          100 m2
                        ",2. Kat,30 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,,,,
74556-2942,29-03-2023,None,None,2 + 1,"
                          105 m2
                        ",3. Kat,30 Yaşında,Kat Kaloriferi,5 Katlı,Eşyalı Değil,1,Betonarme,,Boş,,Doğalgaz,Evet,,,13.500 TL,,,
30486-1674,30-03-2023,None,None,1 + 1,"
                          60 m2
                        ",Yarı Bodrum,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,75 TL,Doğalgaz,Evet,,,8.250 TL,,,
89328-17425,30-03-2023,None,None,2 + 1,"
                          101 m2
                        ",3. Kat,2 Yaşında,Merkezi (Pay Ölçer),17 Katlı,Eşyalı Değil,2,,,Boş,,,,"Güney, Batı",Avangart İstanbul,,Uygun değil,,
8525-54970,30-03-2023,None,None,3 + 1,"
                          221 m2
                        ",21 ve üzeri,Sıfır Bina,Merkezi (Pay Ölçer),45 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",,,,,
104642-1950,30-03-2023,None,None,1 + 1,"
                          50 m2
                        ",3. Kat,40 Yaşında,Yerden Isıtma,5 Katlı,Eşyalı,1,Kagir,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Batı",,,,,
133309-86,30-03-2023,None,None,1 + 1,"
                          75 m2
                        ",Giriş Katı,20 Yaşında,Kombi,5 Katlı,,1,,,,,,,,,,,,
118239-3968,29-03-2023,None,None,2 + 1,"
                          80 m2
                        ",Kot 1,10 Yaşında,Kombi,3 Katlı,,1,,,Boş,,Doğalgaz,Evet,,,7.500 TL,,,
2915-7147,29-03-2023,None,None,1 + 1,"
                          65 m2
                        ",4. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Evet,Güney,,,,,
129689-145,24-03-2023,None,None,2 + 1,"
                          102 m2
                        ",1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),12 Katlı,Eşyalı,2,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,Güney,,,,,
692250-874,27-03-2023,None,None,1 + 1,"
                          55 m2
                        ",Yüksek Giriş,15 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,"Güney, Doğu",,10.000 TL,,,
109249-649,24-03-2023,None,None,1 + 1,"
                          100 m2
                        ",2. Kat,22 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Batı,,50.000 TL,,,
40658-19940,24-03-2023,None,None,1 + 1,"
                          72 m2
                        ",17. Kat,Sıfır Bina,Merkezi (Pay Ölçer),30 Katlı,Eşyalı Değil,1,,,Boş,,,,"Güney, Doğu",Nef Basın Ekspres 36,,Uygun değil,,
36118-15982,28-03-2023,None,None,1 + 1,"
                          57 m2
                        ",3. Kat,5 Yaşında,Merkezi (Pay Ölçer),9 Katlı,Eşyalı,1,,,Boş,1.37 TL,,,Güney,Dumankaya Adres Panorama,,Uygun değil,,
0-40551956,30-03-2023,None,None,2 + 1,"
                          75 m2
                        ",3. Kat,5 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,,Boş,30 TL,Doğalgaz,,Kuzey,,11.000 TL,,,
115541-293,31-03-2023,None,None,2 + 1,"
                          115 m2
                        ",1. Kat,20 Yaşında,Kombi,5 Katlı,Eşyalı,1,,,Boş,80 TL,,Evet,,,18.000 TL,,,
0-40516618,26-03-2023,None,None,3 + 1,"
                          120 m2
                        ",Ara Kat,29 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,50 TL,Doğalgaz,,Güney,,15 TL,,,
135197-79,30-03-2023,None,None,2 + 1,"
                          105 m2
                        ",4. Kat,22 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Taş Bina,İkinci El,Boş,,Doğalgaz,Evet,Güney,,12.000 TL,,,
90634-957,26-03-2023,None,None,3 + 1,"
                          135 m2
                        ",Ara Kat,12 Yaşında,Kombi,11 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,950 TL,Doğalgaz,Evet,Doğu,Fiyaka Esenşehir Konutları,16.000 TL,,,
132695-13,24-03-2023,None,None,3 + 1,"
                          135 m2
                        ",En Üst Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,15.000 TL,,,
123055-426,27-03-2023,None,None,2 + 1,"
                          95 m2
                        ",Yüksek Giriş,3 Yaşında,Kombi,4 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,150 TL,Doğalgaz,Evet,Güney,,14.000 TL,,,
108583-254,29-03-2023,None,None,1 + 1,"
                          50 m2
                        ",Kot 3,30 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,30 TL,Doğalgaz,Evet,Güney,,12.000 TL,,,
129509-405,30-03-2023,None,None,2 + 1,"
                          129 m2
                        ",Ara Kat,8 Yaşında,Merkezi (Pay Ölçer),29 Katlı,,2,Betonarme,İkinci El,Boş,1.000 TL,Doğalgaz,Evet,,Mall Off İstanbul,57.000 TL,,,
133258-129,30-03-2023,None,None,3 + 1,"
                          100 m2
                        ",3. Kat,41 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,,Boş,,Doğalgaz,,,,,,,
70637-1255,29-03-2023,None,None,3 + 1,"
                          125 m2
                        ",1. Kat,24 Yaşında,Merkezi,12 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu",,21.500 TL,,,
136046-29,29-03-2023,None,None,2 + 1,"
                          115 m2
                        ",1. Kat,25 Yaşında,Kombi,25 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,,,,
14121-4988,30-03-2023,None,None,3 + 1,"
                          120 m2
                        ",1. Kat,3 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,,İkinci El,Kiracılı,,Doğalgaz,Evet,,,32.000 TL,,,
45445-581,31-03-2023,None,None,2 + 1,"
                          65 m2
                        ",Yüksek Giriş,20 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Doğu, Batı",,10.000 TL,,,
135038-82,31-03-2023,None,None,3 + 1,"
                          120 m2
                        ",2. Kat,21 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,,,,
129499-139,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",3. Kat,45 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,9.000 TL,,,
136501-8,25-03-2023,None,None,2 + 1,"
                          75 m2
                        ",1. Kat,2 Yaşında,Merkezi (Pay Ölçer),4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,300 TL,Doğalgaz,Evet,Güney,,30.000 TL,,,
60890-158,30-03-2023,None,None,3 + 1,"
                          125 m2
                        ",Giriş Katı,35 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Kuzey,,,,,
134455-130,27-03-2023,None,None,2 + 1,"
                          65 m2
                        ",3. Kat,26 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,,İkinci El,Boş,,Doğalgaz,Evet,,,,Uygun değil,,Hayır
129657-231,27-03-2023,None,None,3 + 1,"
                          130 m2
                        ",1. Kat,29 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,60 TL,Doğalgaz,Evet,Güney,,10.000 TL,,,
132919-58,30-03-2023,None,None,3 + 1,"
                          130 m2
                        ",2. Kat,30 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,,,,,,,,Pilotlar Sitesi,,,,
131935-248,30-03-2023,None,None,3 + 1,"
                          117 m2
                        ",1. Kat,Sıfır Bina,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,Doğalgaz,,,Evet (Site Adı Belirtilmemiş),32.000 TL,,,
135015-33,27-03-2023,None,None,3 + 1,"
                          140 m2
                        ",2. Kat,21 Yaşında,Kombi,4 Katlı,Eşyalı,1,,,Boş,,,,,,,Uygun değil,,
14682-1108,28-03-2023,None,None,3 + 1,"
                          140 m2
                        ",3. Kat,40 Yaşında,Kombi,7 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,,"Kuzey, Güney, Doğu, Batı",,16.000 TL,,,
2431-7357,29-03-2023,None,None,3 + 1,"
                          120 m2
                        ",2. Kat,40 Yaşında,Merkezi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,,,,,,,
34488-4936,31-03-2023,None,None,2 + 1,"
                          80 m2
                        ",1. Kat,2 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,,,23.000 TL,,,
15417-3043,25-03-2023,None,None,1 + 1,"
                          65 m2
                        ",Giriş Katı,30 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,100 TL,Doğalgaz,Evet,"Doğu, Batı",,30.000 TL,,,
128762-63,30-03-2023,None,None,1 + 0,"
                          43 m2
                        ",Ara Kat,6 Yaşında,Merkezi (Pay Ölçer),6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Doğu,,12.800 TL,,,
1361-17012,27-03-2023,None,None,2 + 1,"
                          90 m2
                        ",2. Kat,50 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,600 TL,Doğalgaz,Evet,"Doğu, Batı",,,,,
23051-9214,28-03-2023,None,None,2 + 1,"
                          85 m2
                        ",3. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Kuzey, Güney, Doğu",,15.000 TL,,,
5926-4308,31-03-2023,None,None,3 + 1,"
                          165 m2
                        ",Giriş Katı,31 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,,,Boş,,,,,,,,,
4160-1660,27-03-2023,None,None,2 + 1,"
                          95 m2
                        ",Yarı Bodrum,40 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,12.000 TL,,,
94668-385,30-03-2023,None,None,200 + 180,"
                          200 m2
                        ",1. Kat,6 Yaşında,Kombi,25 Katlı,Eşyalı Değil,45,Yığma,İkinci El,Mülk Sahibi,25.000 TL,Akaryakıt,,"Kuzey, Güney, Doğu, Batı",,25.000 TL,,,
5211-15254,25-03-2023,None,None,3 + 1,"
                          145 m2
                        ",8. Kat,30 Yaşında,Merkezi (Pay Ölçer),8 Katlı,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,,,Evet,,,,,,
119689-169,27-03-2023,None,None,3 + 1,"
                          140 m2
                        ",4. Kat,40 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,,,,,,,
92941-5065,30-03-2023,None,None,3 + 1,"
                          160 m2
                        ",3. Kat,20 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,225 TL,Doğalgaz,,"Güney, Doğu, Batı",,,,,
1061-2242,31-03-2023,None,None,3 + 1,"
                          110 m2
                        ",3. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,,100 TL,Doğalgaz,Evet,Güney,,20.000 TL,,,
49933-2779,25-03-2023,None,None,1 + 1,"
                          60 m2
                        ",Yüksek Giriş,15 Yaşında,Kombi,4 Katlı,Eşyalı,1,Kagir,İkinci El,Boş,,Doğalgaz,Evet,Doğu,,10.000 TL,,,
136102-38,28-03-2023,None,None,2 + 1,"
                          100 m2
                        ",12. Kat,10 Yaşında,Kombi,20 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,1.000 TL,Doğalgaz,Evet,"Güney, Doğu",Acun Kent,2 TL,,,
17780-18775,29-03-2023,None,None,3 + 1,"
                          200 m2
                        ",En Üst Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Kuzey, Güney, Batı",,2 TL,,,
36618-13104,28-03-2023,None,None,1 + 1,"
                          55 m2
                        ",2. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı,1,,,,,,Evet,,,,,,
77755-1018,31-03-2023,None,None,1 + 1,"
                          60 m2
                        ",1. Kat,4 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,,Boş,280 TL,Doğalgaz,Evet,,,,,,
0-40549700,30-03-2023,None,None,2 + 1,"
                          90 m2
                        ",Teras Katı,20 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,,Doğalgaz,,,,,,,
73749-376,29-03-2023,None,None,5 + 2,"
                          260 m2
                        ",5. Kat,28 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu",,25.000 TL,,,
0-40534368,27-03-2023,None,None,1 + 1,"
                          50 m2
                        ",Bodrum,20 Yaşında,Kombi,3 Katlı,Eşyalı,1,,,,50 TL,,,,,7.000 TL,,,
128637-10,24-03-2023,None,None,2 + 1,"
                          143 m2
                        ",3. Kat,5 Yaşında,Merkezi (Pay Ölçer),40 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,Elektrik,,,Torun Center Residence Office,,,,
23180-5483,29-03-2023,None,None,1 + 1,"
                          70 m2
                        ",4. Kat,16 Yaşında,Kombi,5 Katlı,Eşyalı,1,,İkinci El,Boş,,Doğalgaz,Evet,Güney,,7.500 TL,Uygun değil,Kat Mülkiyeti,Hayır
3448-14112,30-03-2023,None,None,2 + 1,"
                          85 m2
                        ",Ara Kat,28 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,7.500 TL,,,
119830-744,29-03-2023,None,None,1 + 1,"
                          75 m2
                        ",1. Kat,15 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,300 TL,Doğalgaz,,,,,,,
7182-4212,28-03-2023,None,None,2 + 1,"
                          95 m2
                        ",5. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,5.000 TL,,,
11735-2290,28-03-2023,None,None,3 + 1,"
                          150 m2
                        ",Ara Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,25 TL,Doğalgaz,Evet,"Kuzey, Güney, Doğu",,15.000 TL,,,
136157-41,26-03-2023,None,None,2 + 1,"
                          110 m2
                        ",Ara Kat,23 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Güney,,15.000 TL,,,
14512-174,30-03-2023,None,None,2 + 1,"
                          70 m2
                        ",Giriş Katı,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,,,,,Doğalgaz,,,,,,,
124961-875,27-03-2023,None,None,3 + 1,"
                          142 m2
                        ",4. Kat,26 Yaşında,Merkezi (Pay Ölçer),8 Katlı,Eşyalı,2,,İkinci El,,,Doğalgaz,,,,,,,
128504-437,27-03-2023,None,None,1 + 1,"
                          75 m2
                        ",Yüksek Giriş,25 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Kuzey, Güney",,8.500 TL,,,
1599-10364,31-03-2023,None,None,2 + 1,"
                          105 m2
                        ",3. Kat,36 Yaşında,Kombi,3 Katlı,,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,,,,
27926-3560,30-03-2023,None,None,2 + 1,"
                          90 m2
                        ",1. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı,1,,İkinci El,Boş,,Doğalgaz,,"Kuzey, Batı",,,,,
1739-6024,25-03-2023,None,None,3 + 1,"
                          115 m2
                        ",4. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Batı,,7.500 TL,,,
110177-349,29-03-2023,None,None,3 + 1,"
                          110 m2
                        ",Ara Kat,4 Yaşında,Merkezi,5 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,300 TL,Doğalgaz,Evet,Güney,Westside İstanbul Sitesi,60.000 TL,,,
4355-132822,31-03-2023,None,None,3 + 1,"
                          130 m2
                        ",1. Kat,27 Yaşında,Merkezi,8 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,350 TL,Doğalgaz,Evet,"Güney, Batı",,20.000 TL,,,
43996-19884,28-03-2023,None,None,1 + 1,"
                          60 m2
                        ",Giriş Katı,Sıfır Bina,Kombi,3 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,120 TL,Doğalgaz,Evet,"Güney, Doğu, Batı",,,,,
130472-57,29-03-2023,None,None,3 + 1,"
                          110 m2
                        ",1. Kat,15 Yaşında,Kombi,6 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,130 TL,Doğalgaz,Evet,,,12.000 TL,,,
39377-778,27-03-2023,None,None,3 + 2,"
                          80 m2
                        ",2. Kat,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,150 TL,Doğalgaz,,Doğu,,20.000 TL,,,
41430-1634,30-03-2023,None,None,5 + 1,"
                          260 m2
                        ",Çatı Katı,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,3,Betonarme,İkinci El,Boş,200 TL,Doğalgaz,Evet,"Kuzey, Güney, Doğu, Batı",Aksoy Tarabya Evleri,32.000 TL,,,
68588-297,29-03-2023,None,None,2 + 1,"
                          75 m2
                        ",2. Kat,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,7.000 TL,,,
32345-10824,27-03-2023,None,None,2 + 1,"
                          110 m2
                        ",1. Kat,4 Yaşında,Merkezi (Pay Ölçer),3 Katlı,,2,Betonarme,İkinci El,Mülk Sahibi,,Doğalgaz,Evet,Güney,Strada Bahçeşehir Rezidans,,,,
71928-1542,24-03-2023,None,None,2 + 1,"
                          90 m2
                        ",16. Kat,5 Yaşında,Klima,16 Katlı,Eşyalı,1,,İkinci El,Mülk Sahibi,1.800 TL,Elektrik,Evet,"Güney, Doğu",Evet (Site Adı Belirtilmemiş),20.000 TL,Uygun değil,Kat Mülkiyeti,Hayır
110844-4569,29-03-2023,None,None,2 + 1,"
                          100 m2
                        ",4. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,60 TL,,Evet,Güney,,15.000 TL,,,
131011-140,28-03-2023,None,None,2 + 1,"
                          85 m2
                        ",Giriş Katı,4 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,632 TL,Doğalgaz,Evet,Güney,Kiptaş Çatalca Konutları,20.000 TL,,,
128289-239,28-03-2023,None,None,1 + 1,"
                          65 m2
                        ",Yüksek Giriş,25 Yaşında,Kombi,2 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Güney,,10.000 TL,,,
116447-209,30-03-2023,None,None,2 + 1,"
                          85 m2
                        ",Ara Kat,31 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,,,Boş,,Doğalgaz,Evet,,,13.500 TL,,,
21144-9775,28-03-2023,None,None,2 + 1,"
                          90 m2
                        ",2. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,,,,,,Evet,,,12.500 TL,,,
119257-27,31-03-2023,None,None,4 + 1,"
                          495 m2
                        ",Bahçe Katı,2 Yaşında,Yerden Isıtma,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu",,,,,
120150-1305,28-03-2023,None,None,3 + 1,"
                          140 m2
                        ",4. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,,,,13.000 TL,,,
35544-1086,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",Giriş Katı,35 Yaşında,Merkezi,7 Katlı,Eşyalı,1,Betonarme,,Boş,1.000 TL,Doğalgaz,Evet,,,20.000 TL,,,
115149-445,27-03-2023,None,None,2 + 1,"
                          95 m2
                        ",En Üst Kat,Sıfır Bina,Merkezi,5 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,440 TL,Doğalgaz,Evet,Güney,Evet (Site Adı Belirtilmemiş),15.000 TL,,,
42096-5273,25-03-2023,None,None,3 + 1,"
                          145 m2
                        ",1. Kat,Sıfır Bina,Kombi,8 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,Doğalgaz,,Güney,,,,,
53363-3435,27-03-2023,None,None,3 + 1,"
                          145 m2
                        ",8. Kat,23 Yaşında,Kombi,14 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,450 TL,Doğalgaz,Evet,Güney,,26.000 TL,,,
118239-3967,29-03-2023,None,None,2 + 1,"
                          125 m2
                        ",Kot 1,10 Yaşında,Kombi,3 Katlı,,1,,,Boş,,Doğalgaz,Evet,,,10.000 TL,,,
58568-6349,26-03-2023,None,None,3 + 1,"
                          130 m2
                        ",Ara Kat,10 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,2.750 TL,Doğalgaz,Evet,"Güney, Batı",,120.000 TL,,,
1415-1455,30-03-2023,None,None,3 + 1,"
                          130 m2
                        ",Kot 1,35 Yaşında,Merkezi,5 Katlı,Eşyalı,2,,,,,,,,,15.000 TL,,,
60885-499,28-03-2023,None,None,1 + 1,"
                          80 m2
                        ",Bahçe Katı,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,30 TL,Doğalgaz,Evet,Batı,,12.000 TL,,,
70388-4715,30-03-2023,None,None,2 + 1,"
                          88 m2
                        ",3. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Kuzey,,,,,
130234-213,29-03-2023,None,None,1 + 1,"
                          60 m2
                        ",Giriş Katı,25 Yaşında,Kombi,5 Katlı,Eşyalı,1,,,Boş,,Doğalgaz,Evet,,,16.000 TL,,,
35277-8855,29-03-2023,None,None,2 + 1,"
                          90 m2
                        ",4. Kat,40 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,8.500 TL,,,
136742-8,28-03-2023,None,None,1 + 1,"
                          60 m2
                        ",8. Kat,1 Yaşında,Kombi,10 Katlı,Eşyalı Değil,1,,,Boş,940 TL,,,Güney,Saklı Vadi Konakları,,Uygun değil,,
134632-48,30-03-2023,None,None,3 + 1,"
                          115 m2
                        ",Ara Kat,4 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Eşyalı,2,Betonarme,Sıfır,Belirtilmemiş,1.300 TL,Doğalgaz,Evet,"Güney, Batı",,130.000 TL,,,
136229-73,25-03-2023,None,None,1 + 1,"
                          65 m2
                        ",5. Kat,16 Yaşında,Kombi,5 Katlı,,1,Betonarme,İkinci El,Boş,,Doğalgaz,,,,,,,
134455-128,24-03-2023,None,None,3 + 1,"
                          120 m2
                        ",9. Kat,31 Yaşında,Merkezi,11 Katlı,Eşyalı Değil,1,,İkinci El,Boş,,,Evet,,,,Uygun değil,,Hayır
132905-194,31-03-2023,None,None,2 + 1,"
                          95 m2
                        ",Bahçe Katı,3 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Güney,,20.000 TL,,,
132919-55,27-03-2023,None,None,2 + 1,"
                          105 m2
                        ",2. Kat,15 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,,,,,,,,,,,,
