İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Depozito,Yakıt Tipi,Yetkili Ofis,Price,Cephe,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas
18249-1351,31-03-2023,None,None,3 + 1,                          135 m2                        ,2. Kat,25 Yaşında,Merkezi,9 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,500 TL,26.000 TL,Doğalgaz,Evet,13.000TL,"Güney, Doğu",,,,
135015-33,27-03-2023,None,None,3 + 1,                          140 m2                        ,2. Kat,21 Yaşında,Kombi,4 Katlı,Eşyalı,1,,,Boş,,,,,15.000TL,,,Uygun değil,,
130678-220,27-03-2023,None,None,3 + 1,                          135 m2                        ,1. Kat,28 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,26.000 TL,Doğalgaz,,13.000TL,,,,,
14682-1108,31-03-2023,None,None,3 + 1,                          140 m2                        ,3. Kat,40 Yaşında,Kombi,7 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,16.000 TL,Doğalgaz,,16.000TL,"Kuzey, Güney, Doğu, Batı",,,,
79030-567,30-03-2023,None,None,3 + 1,                          135 m2                        ,Kot 1,5 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,,,Boş,100 TL,,,,13.500TL,Doğu,,Uygun değil,,
34488-4936,01-04-2023,None,None,2 + 1,                          80 m2                        ,1. Kat,2 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,23.000 TL,Doğalgaz,Evet,20.000TL,,,,,
1361-16950,27-03-2023,None,None,3 + 1,                          140 m2                        ,3. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,32.000TL,,,,,
5926-4308,31-03-2023,None,None,3 + 1,                          165 m2                        ,Giriş Katı,31 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,,,Boş,,,,,15.000TL,,,,,
94668-385,30-03-2023,None,None,200 + 180,                          200 m2                        ,1. Kat,6 Yaşında,Kombi,25 Katlı,Eşyalı Değil,45,Yığma,İkinci El,Mülk Sahibi,25.000 TL,25.000 TL,Akaryakıt,,25.000TL,"Kuzey, Güney, Doğu, Batı",,,,
692250-873,31-03-2023,None,None,2 + 1,                          95 m2                        ,3. Kat,20 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,9.500 TL,Doğalgaz,Evet,9.500TL,"Doğu, Batı",,,,
1075-6375,31-03-2023,None,None,3 + 1,                          125 m2                        ,Kot 1,40 Yaşında,Merkezi,3 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,50.000TL,"Kuzey, Güney",,,,
119689-169,27-03-2023,None,None,3 + 1,                          140 m2                        ,4. Kat,40 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,,13.000TL,,,,,
11735-2288,27-03-2023,None,None,3 + 1,                          130 m2                        ,Ara Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,30 TL,15.000 TL,Doğalgaz,Evet,15.000TL,"Kuzey, Güney, Doğu",,,,
113746-265,01-04-2023,None,None,2 + 1,                          90 m2                        ,1. Kat,28 Yaşında,Kat Kaloriferi,5 Katlı,,1,,,,,,,,8.500TL,,,,,
86920-204,30-03-2023,None,None,2 + 1,                          95 m2                        ,4. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,,,,50 TL,,,,8.500TL,,,,,
35544-1086,31-03-2023,None,None,2 + 1,                          90 m2                        ,Giriş Katı,35 Yaşında,Merkezi,7 Katlı,Eşyalı,1,Betonarme,,Boş,1.000 TL,20.000 TL,Doğalgaz,Evet,20.000TL,,,,,
92941-5065,30-03-2023,None,None,3 + 1,                          160 m2                        ,3. Kat,20 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,225 TL,,Doğalgaz,,15.000TL,"Güney, Doğu, Batı",,,,
26974-419,30-03-2023,None,None,2 + 1,                          101 m2                        ,3. Kat,39 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,,,,,10.000 TL,Doğalgaz,Evet,10.000TL,,,,,
19553-2628,31-03-2023,None,None,3 + 1,                          180 m2                        ,2. Kat,25 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,,,Doğalgaz,,50.000TL,,,,,
136102-38,28-03-2023,None,None,2 + 1,                          100 m2                        ,12. Kat,10 Yaşında,Kombi,20 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,1.000 TL,2 TL,Doğalgaz,Evet,8.500TL,"Güney, Doğu",Acun Kent,,,
136191-48,28-03-2023,None,None,1 + 1,                          70 m2                        ,5. Kat,15 Yaşında,Kombi,15 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,280 TL,21.000 TL,Doğalgaz,Evet,10.500TL,"Güney, Batı",,,,
126422-77,31-03-2023,None,None,3 + 1,                          130 m2                        ,En Üst Kat,5 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,200 TL,50.000 TL,Doğalgaz,Evet,25.000TL,,,,,
64491-324,30-03-2023,None,None,2 + 1,                          80 m2                        ,Bahçe Katı,40 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,10.000 TL,Doğalgaz,Evet,8.200TL,,,,,
1358-3496,30-03-2023,None,None,2 + 1,                          160 m2                        ,Ara Kat,30 Yaşında,Merkezi,7 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,20.000TL,,,,,
23474-33453,26-03-2023,None,None,2 + 1,                          85 m2                        ,Giriş Katı,Sıfır Bina,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,,Doğalgaz,Evet,20.500TL,,,,,
36618-13104,28-03-2023,None,None,1 + 1,                          55 m2                        ,2. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı,1,,,,,,,Evet,22.000TL,,,,,
69050-2432,31-03-2023,None,None,2 + 1,                          80 m2                        ,1. Kat,30 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,15.000 TL,Doğalgaz,Evet,10.000TL,,,,,
0-40549700,30-03-2023,None,None,2 + 1,                          90 m2                        ,Teras Katı,20 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,,,Doğalgaz,,8.500TL,,,,,
73749-376,29-03-2023,None,None,5 + 2,                          260 m2                        ,5. Kat,28 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,25.000 TL,Doğalgaz,Evet,25.000TL,"Güney, Doğu",,,,
0-40534368,01-04-2023,None,None,1 + 1,                          50 m2                        ,Bodrum,20 Yaşında,Kombi,3 Katlı,Eşyalı,1,,,,50 TL,7.000 TL,,,6.000TL,,,,,
14023-4339,31-03-2023,None,None,2 + 1,                          90 m2                        ,4. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,13.500 TL,Doğalgaz,Evet,13.500TL,"Güney, Doğu, Batı",,,,
77755-1481,01-04-2023,None,None,1 + 1,                          54 m2                        ,9. Kat,2 Yaşında,Kombi,40 Katlı,Eşyalı,1,Betonarme,,Kiracılı,2.331 TL,,Doğalgaz,Evet,27.990TL,,,,,
73338-3737,01-04-2023,None,None,2 + 1,                          85 m2                        ,5. Kat,21 Yaşında,Kombi,5 Katlı,,1,,,,,,,,10.000TL,,,,,
78519-8267,30-03-2023,None,None,2 + 1,                          95 m2                        ,Çatı Katı,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,13.000 TL,Doğalgaz,,13.000TL,"Kuzey, Güney, Doğu, Batı",,,,
124961-875,27-03-2023,None,None,3 + 1,                          142 m2                        ,4. Kat,26 Yaşında,Merkezi (Pay Ölçer),8 Katlı,Eşyalı,2,,İkinci El,,,,Doğalgaz,,25.000TL,,,,,
27926-3560,30-03-2023,None,None,2 + 1,                          90 m2                        ,1. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı,1,,İkinci El,Boş,,,Doğalgaz,,7.500TL,"Kuzey, Batı",,,,
53363-3371,31-03-2023,None,None,3 + 1,                          130 m2                        ,2. Kat,23 Yaşında,Kombi,9 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,350 TL,22.000 TL,Doğalgaz,Evet,11.000TL,Doğu,,,,
92697-604,31-03-2023,None,None,1 + 0,                          45 m2                        ,1. Kat,7 Yaşında,Merkezi (Pay Ölçer),4 Katlı,Eşyalı,1,Çelik,İkinci El,Boş,,,Doğalgaz,Evet,17.000TL,Batı,,,,
119728-2274,01-04-2023,None,None,2 + 1,                          140 m2                        ,Bahçe Katı,2 Yaşında,Merkezi (Pay Ölçer),11 Katlı,Eşyalı,2,,,Boş,,,,,47.500TL,,,,,
110177-349,29-03-2023,None,None,3 + 1,                          110 m2                        ,Ara Kat,4 Yaşında,Merkezi,5 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,300 TL,60.000 TL,Doğalgaz,Evet,28.000TL,Güney,Westside İstanbul Sitesi,,,
14121-4987,30-03-2023,None,None,3 + 1,                          120 m2                        ,Yüksek Giriş,16 Yaşında,Kombi,4 Katlı,Eşyalı,1,,Sıfır,Boş,,30.000 TL,Doğalgaz,Evet,15.000TL,,,,,
1599-10339,31-03-2023,None,None,3 + 1,                          105 m2                        ,2. Kat,28 Yaşında,Kombi,4 Katlı,,1,Betonarme,İkinci El,Boş,40 TL,,Doğalgaz,Evet,8.500TL,Güney,,,,
43996-19884,28-03-2023,None,None,1 + 1,                          60 m2                        ,Giriş Katı,Sıfır Bina,Kombi,3 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,120 TL,,Doğalgaz,Evet,13.000TL,"Güney, Doğu, Batı",,,,
39377-778,27-03-2023,None,None,3 + 2,                          80 m2                        ,2. Kat,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,150 TL,20.000 TL,Doğalgaz,,20.000TL,Doğu,,,,
41430-1634,30-03-2023,None,None,5 + 1,                          260 m2                        ,Çatı Katı,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,3,Betonarme,İkinci El,Boş,200 TL,32.000 TL,Doğalgaz,Evet,27.000TL,"Kuzey, Güney, Doğu, Batı",Aksoy Tarabya Evleri,,,
26073-2798,31-03-2023,None,None,2 + 1,                          100 m2                        ,Giriş Katı,15 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,15.000 TL,Doğalgaz,Evet,7.500TL,,,,,
32345-10824,27-03-2023,None,None,2 + 1,                          110 m2                        ,1. Kat,4 Yaşında,Merkezi (Pay Ölçer),3 Katlı,,2,Betonarme,İkinci El,Mülk Sahibi,,,Doğalgaz,Evet,15.500TL,Güney,Strada Bahçeşehir Rezidans,,,
68400-523,01-04-2023,None,None,2 + 1,                          90 m2                        ,2. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,6.250 TL,Doğalgaz,Evet,6.250TL,"Güney, Batı",,,,
45929-1642,29-03-2023,None,None,2 + 1,                          100 m2                        ,2. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,,,Boş,100 TL,,,,25.000TL,,,,,
3921-1340,31-03-2023,None,None,3 + 1,                          100 m2                        ,Bahçe Katı,35 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,,,Boş,230 TL,15.000 TL,Doğalgaz,Evet,15.000TL,,,,,
17780-18766,31-03-2023,None,None,4 + 1,                          250 m2                        ,2. Kat,Sıfır Bina,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Doğalgaz,Evet,65.000TL,,,,,
4355-132732,01-04-2023,None,None,1 + 1,                          65 m2                        ,1. Kat,9 Yaşında,Kombi,7 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,650 TL,28.000 TL,Doğalgaz,Evet,14.000TL,"Güney, Doğu",,,,
0-40555239,31-03-2023,None,None,1 + 1,                          65 m2                        ,3. Kat,22 Yaşında,Kombi,7 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,65 TL,20.000 TL,Doğalgaz,,13.500TL,,,,,
134554-29,26-03-2023,None,None,3 + 1,                          110 m2                        ,3. Kat,14 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,,,Boş,,,,,16.000TL,,,,,
59797-1040,25-03-2023,None,None,1 + 1,                          85 m2                        ,En Üst Kat,14 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,20.000 TL,Doğalgaz,Evet,9.000TL,Doğu,,,,
87449-2867,01-04-2023,None,None,3 + 1,                          130 m2                        ,1. Kat,40 Yaşında,Merkezi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,30.000 TL,Doğalgaz,Evet,15.750TL,Güney,,,,
131011-140,28-03-2023,None,None,2 + 1,                          85 m2                        ,Giriş Katı,4 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,632 TL,20.000 TL,Doğalgaz,Evet,10.000TL,Güney,Kiptaş Çatalca Konutları,,,
136501-10,27-03-2023,None,None,2 + 1,                          95 m2                        ,1. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,170 TL,12.000 TL,Doğalgaz,Evet,12.000TL,Güney,,,,
112354-110,27-03-2023,None,None,3 + 1,                          145 m2                        ,1. Kat,26 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,10.000 TL,Doğalgaz,Evet,11.000TL,Güney,,,,
134100-43,30-03-2023,None,None,3 + 1,                          120 m2                        ,1. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,100 TL,13.500 TL,Doğalgaz,Evet,12.500TL,"Kuzey, Güney",,,,
34800-1759,01-04-2023,None,None,1 + 0,                          35 m2                        ,Giriş Katı,20 Yaşında,Kombi,1 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,8.000 TL,Elektrik,,8.000TL,,,,,
116447-209,30-03-2023,None,None,2 + 1,                          85 m2                        ,Ara Kat,31 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,,,Boş,,13.500 TL,Doğalgaz,Evet,13.500TL,,,,,
80027-1198,31-03-2023,None,None,1 + 0,                          50 m2                        ,3. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,10.000 TL,Doğalgaz,,10.000TL,,,,,
21144-9775,28-03-2023,None,None,2 + 1,                          90 m2                        ,2. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,,,,,12.500 TL,,Evet,12.500TL,,,,,
119257-27,31-03-2023,None,None,4 + 1,                          495 m2                        ,Bahçe Katı,2 Yaşında,Yerden Isıtma,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,250.000TL,"Güney, Doğu",,,,
66056-8115,29-03-2023,None,None,2 + 1,                          100 m2                        ,2. Kat,30 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,10.500TL,,,,,
6522-2379,31-03-2023,None,None,3 + 1,                          150 m2                        ,4. Kat,35 Yaşında,Merkezi,5 Katlı,,2,,,,,,,Evet,40.000TL,,,,,
118623-319,29-03-2023,None,None,2 + 1,                          130 m2                        ,Giriş Katı,28 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,,Boş,,19.000 TL,,Evet,19.000TL,,,,,
134631-21,30-03-2023,None,None,3 + 2,                          220 m2                        ,13. Kat,5 Yaşında,Merkezi (Pay Ölçer),13 Katlı,Eşyalı Değil,2,,,Mülk Sahibi,,,,,35.000TL,"Doğu, Batı",Evet (Site Adı Belirtilmemiş),Uygun değil,,
124862-388,28-03-2023,None,None,1 + 1,                          46 m2                        ,1. Kat,7 Yaşında,Merkezi (Pay Ölçer),14 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,800 TL,12.000 TL,Doğalgaz,Evet,6.000TL,Güney,Innovia 3,,,
33341-3806,30-03-2023,None,None,4 + 1,                          250 m2                        ,Ara Kat,10 Yaşında,Merkezi (Pay Ölçer),6 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,,,Doğalgaz,,80.000TL,,,,,
5575-12077,29-03-2023,None,None,5 + 1,                          330 m2                        ,Çatı Katı,8 Yaşında,Kombi,5 Katlı,Eşyalı Değil,4,Betonarme,İkinci El,Kiracılı,,,Doğalgaz,,125.000TL,,,,,
50569-5005,28-03-2023,None,None,2 + 1,                          90 m2                        ,Yüksek Giriş,20 Yaşında,Kombi,7 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,12.000 TL,Doğalgaz,Evet,12.000TL,,,,,
3448-14111,30-03-2023,None,None,2 + 1,                          90 m2                        ,Ara Kat,28 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,14.000 TL,Doğalgaz,Evet,7.000TL,,,,,
120150-1845,28-03-2023,None,None,2 + 1,                          85 m2                        ,En Üst Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,10.000 TL,Doğalgaz,,9.500TL,Güney,,,,
1415-1455,31-03-2023,None,None,3 + 1,                          130 m2                        ,Kot 1,35 Yaşında,Merkezi,5 Katlı,Eşyalı,2,,,,,15.000 TL,,,15.000TL,,,,,
60885-499,28-03-2023,None,None,1 + 1,                          80 m2                        ,Bahçe Katı,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,30 TL,12.000 TL,Doğalgaz,Evet,7.500TL,Batı,,,,
125758-129,25-03-2023,None,None,2 + 1,                          120 m2                        ,Ara Kat,10 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,225 TL,30.000 TL,Doğalgaz,Evet,15.000TL,Güney,,,,
70388-4715,31-03-2023,None,None,2 + 1,                          88 m2                        ,3. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,9.000TL,Kuzey,,,,
30863-8688,27-03-2023,None,None,2 + 1,                          95 m2                        ,4. Kat,31 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,7.000 TL,Doğalgaz,Evet,7.000TL,"Kuzey, Güney",,,,
12889-1680,25-03-2023,None,None,2 + 1,                          85 m2                        ,3. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,,50 TL,18.000 TL,Doğalgaz,Evet,18.000TL,Güney,,,,
132480-107,31-03-2023,None,None,3 + 1,                          180 m2                        ,7. Kat,16 Yaşında,Kombi,9 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,1.000 TL,30.000 TL,Doğalgaz,Evet,15.000TL,Güney,Yeşil Kent Sitesi 2,,,
134455-136,31-03-2023,None,None,2 + 1,                          90 m2                        ,3. Kat,21 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,,İkinci El,Boş,,,,Evet,9.000TL,,,Uygun değil,,Hayır
130234-213,29-03-2023,None,None,1 + 1,                          60 m2                        ,Giriş Katı,25 Yaşında,Kombi,5 Katlı,Eşyalı,1,,,Boş,,16.000 TL,Doğalgaz,Evet,16.000TL,,,,,
35277-8855,01-04-2023,None,None,2 + 1,                          90 m2                        ,3. Kat,40 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,8.500 TL,Doğalgaz,Evet,8.500TL,,,,,
136742-8,28-03-2023,None,None,1 + 1,                          60 m2                        ,8. Kat,1 Yaşında,Kombi,10 Katlı,Eşyalı Değil,1,,,Boş,940 TL,,,,7.500TL,Güney,Saklı Vadi Konakları,Uygun değil,,
134632-48,30-03-2023,None,None,3 + 1,                          115 m2                        ,Ara Kat,4 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Eşyalı,2,Betonarme,Sıfır,Belirtilmemiş,1.300 TL,130.000 TL,Doğalgaz,Evet,65.000TL,"Güney, Batı",,,,
40430-3663,25-03-2023,None,None,2 + 1,                          115 m2                        ,1. Kat,28 Yaşında,Merkezi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,550 TL,50.000 TL,Doğalgaz,Evet,35.000TL,Güney,,,,
132919-58,30-03-2023,None,None,3 + 1,                          130 m2                        ,2. Kat,30 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,,,,,,,,9.500TL,,Pilotlar Sitesi,,,
133826-41,30-03-2023,None,None,2 + 1,                          130 m2                        ,1. Kat,16 Yaşında,Kombi,2 Katlı,Eşyalı Değil,1,,,Mülk Sahibi,,,,,15.000TL,,,Uygun değil,,
5956-5929,01-04-2023,None,None,2 + 1,                          95 m2                        ,En Üst Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,100 TL,11.000 TL,Doğalgaz,Evet,11.000TL,"Kuzey, Doğu",,,,
104642-2111,27-03-2023,None,None,1 + 1,                          79 m2                        ,2. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı,1,Kagir,İkinci El,Boş,,,Doğalgaz,Evet,22.000TL,"Kuzey, Güney, Doğu, Batı",,,,
115149-446,31-03-2023,None,None,2 + 1,                          70 m2                        ,Giriş Katı,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,8.000 TL,Doğalgaz,Evet,8.000TL,Güney,,,,
66891-802,31-03-2023,None,None,3 + 1,                          135 m2                        ,11. Kat,13 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,1.600 TL,50.000 TL,Doğalgaz,Evet,25.000TL,,,,,
11114-11575,01-04-2023,None,None,2 + 1,                          75 m2                        ,10. Kat,1 Yaşında,Merkezi,15 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,1.800 TL,15.000 TL,Doğalgaz,Evet,15.000TL,Batı,,,,
121508-132,31-03-2023,None,None,1 + 1,                          80 m2                        ,Bahçe Katı,30 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,34.000 TL,Doğalgaz,Evet,15.750TL,,,,,
110844-4580,01-04-2023,None,None,2 + 1,                          85 m2                        ,Yarı Bodrum,30 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,8.000 TL,Doğalgaz,Evet,8.000TL,"Güney, Batı",,,,
2431-7303,29-03-2023,None,None,2 + 1,                          90 m2                        ,3. Kat,30 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,,13.000TL,,,,,
6207-965,31-03-2023,None,None,2 + 1,                          95 m2                        ,Yüksek Giriş,25 Yaşında,Kombi,4 Katlı,,1,,,,,,,,9.000TL,,,,,
49183-3356,29-03-2023,None,None,3 + 1,                          110 m2                        ,Bahçe Katı,33 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,,,Kiracılı,,30.000 TL,Doğalgaz,,16.000TL,,,,,
30237-1781,30-03-2023,None,None,2 + 1,                          80 m2                        ,1. Kat,14 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,10.000 TL,Doğalgaz,Evet,8.000TL,Güney,,,,
34488-4942,01-04-2023,None,None,2 + 1,                          92 m2                        ,3. Kat,Sıfır Bina,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,22.000 TL,Doğalgaz,Evet,22.000TL,"Doğu, Batı",,,,
134249-56,26-03-2023,None,None,3 + 1,                          140 m2                        ,Bahçe Katı,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,12.000 TL,Doğalgaz,Evet,12.250TL,"Kuzey, Güney, Batı",,,,
133309-10,29-03-2023,None,None,3 + 1,                          80 m2                        ,5. Kat,15 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,,,,,,,,3.500TL,,,,,
77755-1462,01-04-2023,None,None,2 + 1,                          108 m2                        ,3. Kat,33 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,,Boş,98 TL,,Doğalgaz,Evet,29.990TL,,,,,
11735-2290,28-03-2023,None,None,3 + 1,                          150 m2                        ,Ara Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,25 TL,15.000 TL,Doğalgaz,Evet,15.000TL,"Kuzey, Güney, Doğu",,,,
131498-92,28-03-2023,None,None,2 + 1,                          130 m2                        ,12. Kat,10 Yaşında,Kombi,27 Katlı,Eşyalı,1,,,,,,,,9.000TL,,,,,
2866-3506,30-03-2023,None,None,3 + 1,                          270 m2                        ,4. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,,İkinci El,,,90.000 TL,Doğalgaz,Evet,45.000TL,,,,,
1687-1366,27-03-2023,None,None,2 + 1,                          80 m2                        ,Giriş Katı,20 Yaşında,Kombi,5 Katlı,Eşyalı,1,,İkinci El,Boş,,13.500 TL,,Evet,13.500TL,,,,,
8458-1579,27-03-2023,None,None,2 + 1,                          105 m2                        ,3. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,,,Boş,,,,Evet,7.500TL,,,,,
64317-1367,28-03-2023,None,None,2 + 1,                          85 m2                        ,2. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,,İkinci El,Boş,50 TL,10.000 TL,,Evet,8.000TL,Güney,,,,
55956-1335,31-03-2023,None,None,2 + 1,                          100 m2                        ,Yüksek Giriş,35 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,,Doğalgaz,,15.000TL,"Kuzey, Güney",,,,
1361-16999,27-03-2023,None,None,3 + 1,                          150 m2                        ,3. Kat,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,300 TL,80.000 TL,Doğalgaz,Evet,40.000TL,Güney,,,,
78733-923,31-03-2023,None,None,1 + 1,                          60 m2                        ,1. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,10.000 TL,Doğalgaz,Evet,8.500TL,Kuzey,,,,
14512-176,31-03-2023,None,None,1 + 1,                          80 m2                        ,4. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,,,,,,Doğalgaz,,11.000TL,,,,,
136928-5,29-03-2023,None,None,2 + 1,                          100 m2                        ,Ara Kat,4 Yaşında,Kombi,9 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,14.000 TL,Doğalgaz,Evet,13.750TL,"Güney, Doğu, Batı",,,,
9132-2491,01-04-2023,None,None,2 + 1,                          55 m2                        ,Giriş Katı,35 Yaşında,Klima,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,5 TL,5.000 TL,Elektrik,Evet,5.000TL,Doğu,,,,
