İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Depozito,Yakıt Tipi,Yetkili Ofis,Price,Cephe,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas
134632-36,31-03-2023,None,None,3 + 1,                          200 m2                        ,2. Kat,11 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,,,Boş,1.5 TL,,,,65.000TL,"Kuzey, Güney, Doğu, Batı",,Uygun değil,,
133395-37,29-03-2023,None,None,1 + 1,                          65 m2                        ,3. Kat,5 Yaşında,Kombi,10 Katlı,Eşyalı Değil,1,,,Boş,733 TL,,,,10.500TL,Güney,Kent Plus Sitesi,,,
2073-1673,31-03-2023,None,None,3 + 1,                          115 m2                        ,1. Kat,35 Yaşında,Merkezi (Pay Ölçer),7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,200 TL,14.000 TL,Doğalgaz,Evet,14.000TL,,,,,
27431-8423,30-03-2023,None,None,2 + 1,                          90 m2                        ,Bahçe Katı,35 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,900 TL,12.000 TL,,Evet,12.000TL,"Güney, Doğu",,,,
44019-18106,30-03-2023,None,None,3 + 2,                          193 m2                        ,Çatı Katı,Sıfır Bina,Yerden Isıtma,5 Katlı,Eşyalı Değil,3,,,Boş,,,,,155.000TL,Güney,Evet (Site Adı Belirtilmemiş),Uygun değil,,
2831-2525,30-03-2023,None,None,3 + 1,                          120 m2                        ,3. Kat,40 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,20.000 TL,Doğalgaz,Evet,13.500TL,"Kuzey, Güney, Batı",,,,
16076-448,30-03-2023,None,None,3 + 1,                          120 m2                        ,Ara Kat,20 Yaşında,Kombi,12 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,650 TL,17.500 TL,Doğalgaz,Evet,17.500TL,Güney,,,,
130456-130,30-03-2023,None,None,3 + 1,                          150 m2                        ,4. Kat,26 Yaşında,Merkezi (Pay Ölçer),6 Katlı,Eşyalı Değil,1,,,Boş,,,,,20.000TL,"Kuzey, Güney, Doğu, Batı",,Uygun değil,,
30863-8690,29-03-2023,None,None,3 + 1,                          120 m2                        ,1. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,20.000 TL,Doğalgaz,Evet,9.500TL,"Kuzey, Güney, Doğu",,,,
16829-2427,31-03-2023,None,None,3 + 1,                          115 m2                        ,4. Kat,35 Yaşında,Merkezi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,400 TL,10.000 TL,Doğalgaz,Evet,10.000TL,Güney,,,,
128786-471,01-04-2023,None,None,1 + 1,                          50 m2                        ,Giriş Katı,28 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,,,20.000 TL,Doğalgaz,,8.500TL,"Güney, Doğu",,,,
14682-1109,31-03-2023,None,None,3 + 1,                          120 m2                        ,1. Kat,40 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,300 TL,20.000 TL,Doğalgaz,Evet,18.000TL,"Kuzey, Güney, Doğu, Batı",,,,
20293-551,28-03-2023,None,None,2 + 1,                          85 m2                        ,1. Kat,4 Yaşında,Kombi,12 Katlı,Eşyalı,2,Betonarme,İkinci El,,300 TL,35.000 TL,Doğalgaz,Evet,35.000TL,"Güney, Doğu, Batı",,,,
45057-740,31-03-2023,None,None,2 + 1,                          100 m2                        ,3. Kat,27 Yaşında,Merkezi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,25.000TL,Doğu,,,,
126729-130,30-03-2023,None,None,1 + 1,                          47 m2                        ,21 ve üzeri,30 Yaşında,Yerden Isıtma,35 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,30.500 TL,Doğalgaz,Evet,15.000TL,Güney,,,,
5459-4776,28-03-2023,None,None,2 + 1,                          90 m2                        ,3. Kat,27 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,9.000TL,Güney,,,,
2495-2571,31-03-2023,None,None,3 + 1,                          130 m2                        ,Ara Kat,45 Yaşında,Kombi,5 Katlı,,1,,İkinci El,Boş,,9.000 TL,Doğalgaz,Evet,9.000TL,"Güney, Doğu",,,,
12817-918,30-03-2023,None,None,2 + 1,                          100 m2                        ,3. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,15.000 TL,Doğalgaz,Evet,15.000TL,"Kuzey, Güney, Doğu, Batı",,,,
23185-4200,27-03-2023,None,None,3 + 1,                          130 m2                        ,2. Kat,40 Yaşında,Merkezi (Pay Ölçer),7 Katlı,Eşyalı Değil,1,,İkinci El,Boş,25.000 TL,900 TL,Doğalgaz,Evet,25.000TL,"Güney, Doğu",,,,
7350-8430,26-03-2023,None,None,3 + 1,                          125 m2                        ,4. Kat,26 Yaşında,Merkezi (Pay Ölçer),4 Katlı,Eşyalı Değil,1,,,Boş,,,,,20.000TL,Batı,Onur Sitesi,Uygun değil,,
5734-1169,30-03-2023,None,None,3 + 1,                          150 m2                        ,4. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,,18.000TL,,,,,
11114-11586,28-03-2023,None,None,2 + 1,                          85 m2                        ,Ara Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,15.000 TL,,Evet,15.000TL,Batı,,,,
118119-307,31-03-2023,None,None,3 + 1,                          125 m2                        ,3. Kat,35 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,45.000 TL,Doğalgaz,Evet,22.500TL,"Doğu, Batı",,,,
130492-2634,26-03-2023,None,None,2 + 1,                          100 m2                        ,Ara Kat,9 Yaşında,Merkezi (Pay Ölçer),14 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,900 TL,,Doğalgaz,Evet,18.500TL,,,,,
40208-1959,01-04-2023,None,None,2 + 1,                          60 m2                        ,2. Kat,2 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,,Doğalgaz,Evet,25.000TL,,,,,
31303-139761,31-03-2023,None,None,3 + 1,                          135 m2                        ,2. Kat,26 Yaşında,Merkezi,5 Katlı,Eşyalı,2,,,Boş,,,,,90.000TL,"Kuzey, Güney, Doğu, Batı",,,,
1739-6022,01-04-2023,None,None,2 + 1,                          90 m2                        ,Yüksek Giriş,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,75 TL,10.000 TL,Doğalgaz,Evet,8.500TL,Güney,,,,
132179-65,30-03-2023,None,None,2 + 1,                          70 m2                        ,Yüksek Giriş,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,6.000 TL,Doğalgaz,Evet,6.250TL,"Kuzey, Batı",,,,
136619-10,28-03-2023,None,None,2 + 1,                          75 m2                        ,5. Kat,5 Yaşında,Merkezi (Pay Ölçer),8 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,850 TL,20.000 TL,Doğalgaz,Evet,13.500TL,Güney,,,,
31470-1126,01-04-2023,None,None,3 + 1,                          160 m2                        ,2. Kat,21 Yaşında,Merkezi,8 Katlı,Eşyalı Değil,2,,,Boş,,,,,20.000TL,Güney,,Uygun değil,,
0-40566328,01-04-2023,None,None,2 + 1,                          75 m2                        ,Ara Kat,27 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,16.000 TL,Doğalgaz,,8.000TL,Kuzey,,,,
10493-6121,30-03-2023,None,None,3 + 1,                          150 m2                        ,4. Kat,16 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,,,Boş,100 TL,,,,17.500TL,"Güney, Doğu",,Uygun değil,,
4492-15426,29-03-2023,None,None,1 + 1,                          110 m2                        ,3. Kat,7 Yaşında,Fancoil Ünitesi,10 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,,Doğalgaz,,28.500TL,,Petek Rezidans,,,
6655-2608,29-03-2023,None,None,2 + 1,                          80 m2                        ,Giriş Katı,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,,Boş,40 TL,10.000 TL,Doğalgaz,Evet,10.000TL,Doğu,,,,
3921-1379,31-03-2023,None,None,2 + 1,                          95 m2                        ,Bahçe Katı,30 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,,İkinci El,Boş,500 TL,40.000 TL,Doğalgaz,Evet,22.000TL,,,,,
